gold_label,sequence,attention_mask,token_type
2,"[CLS] the nas timer value shall be calculated at start of a nas procedure , and shall not be re - calculated until the nas procedure is completed , restarted or ab ##orted the support of ce mode b by a u ##e is indicated to the mm ##e by lower layers and shall be stored by the mm ##e . [SEP] the nas timer value shall be calculated at start of a nas procedure and shall not be re - calculated until the nas procedure is completed , restarted or ab ##orted . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] a u ##e enters the state em ##m - tracking - area - up ##dating - initiated after it has started the tracking area up ##dating or combined tracking area up ##dating procedure and is waiting for a response from the mm ##e ( see clause 5 . 5 . 3 ) . [SEP] as part of tracking area up ##dating . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
2,[CLS] a u ##e enters the state em ##m - service - request - initiated after it has started the service request procedure and is waiting for a response from the mm ##e ( see clause 5 . 6 . 1 ) note : not all possible transitions are shown in this figure figure 5 . 1 . 3 . 2 . 2 . 7 . 1 : em ##m main states in the u ##e . [SEP] the mm ##e enters the state em ##m - der ##eg ##ister ##ed - initiated after it has started a det ##ach procedure and is waiting for a response from the u ##e ( see clause 5 . 5 . 2 ) figure 5 . 1 . 3 . 4 . 4 . 1 : em ##m main states in the mm ##e . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] the state em ##m - der ##eg ##ister ##ed is subdivided into a number of sub ##sta ##tes as described in this clause . valid sub ##scribe ##r data are available for the u ##e before it enters the sub ##sta ##tes , except for the sub ##sta ##te em ##m - der ##eg ##ister ##ed . no - im ##si . [SEP] the state em ##m - registered is subdivided into a number of sub ##sta ##tes as described in this clause . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] a combined attach procedure or a combined tracking area up ##dating procedure was successful for eps services only . user data and signalling information may be sent and received . [SEP] this ie shall be included if the combined tracking area up ##dating procedure was successful for eps services only . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the network may detect em ##m signalling congestion and perform nas level mobility management congestion control . nas level mobility management congestion control consists of general nas level mobility management congestion control and sub ##scribe ##d ap ##n based congestion control under general over ##load conditions the network may reject mobility management signalling requests from u ##es as specified in 3 ##gp ##p s 23 . 401 [ 10 ] . [SEP] the mm ##e may include this ie when the nas level mobility management congestion control is active . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the network may detect em ##m signalling congestion and perform nas level mobility management congestion control . nas level mobility management congestion control consists of general nas level mobility management congestion control and sub ##scribe ##d ap ##n based congestion control under general over ##load conditions the network may reject mobility management signalling requests from u ##es as specified in 3 ##gp ##p s 23 . 401 [ 10 ] . [SEP] the mm ##e may include this ie when the general nas level mobility management congestion control is active . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the network may detect em ##m signalling congestion and perform nas level mobility management congestion control . nas level mobility management congestion control consists of general nas level mobility management congestion control and sub ##scribe ##d ap ##n based congestion control under general over ##load conditions the network may reject mobility management signalling requests from u ##es as specified in 3 ##gp ##p s 23 . 401 [ 10 ] . [SEP] the mm ##e may include this ie when the general nas level mobility management congestion control is active . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] as part of tracking area up ##dating . [SEP] within a combined tracking area up ##dating procedure the messages tracking area update accept and tracking area update complete carry information for the tracking area up ##dating and the location area up ##dating the combined tracking area up ##dating procedure follows the normal tracking area up ##dating procedure described in clause 5 . 5 . 3 . 2 with exception of clause 5 . 5 . 3 . 2 . 4a and clause 5 . 5 . 3 . 2 . 6 ##a . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the security mode command message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the identity request message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
